CONTROL_NUMBER_N,TARGET_B,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPTITA_INCOME,PCT_MALE_MILITARY,PCT_MALE_VETERANS,PCT_VIETNAM_VETERANS,PCT_WWII_VETERANS,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT
119,0,65,63,0,U,3,8,H,F,5,0,P,0,5,578,370,71,6826,0,23,17,0,0,0,A,1,0.136,31.67,0.182,31,3,2,18,22,55,172,7,24.57,23,33,10,33,6,13,18,62,24.57,4
120,0,41,,0,S,2,17,U,F,,0,N,0,,882,384,40,14628,0,20,35,19,0,0,A,2,0.15,15,0.111,10,3,1,16,14,35,55,4,13.75,10,20,10,10,6,14,16,41,13.75,2
121,1,77,81,0,R,2,46,U,F,1,1,B,0,,512,269,61,12842,0,16,40,31,0,0,A,2,0.125,17.5,0,0,2,0,17,18,48,70,5,14,10,20,10,20,6,13,17,75,14,2
122,0,89,,0,R,2,43,U,M,3,0,P,0,5,355,221,83,9240,1,25,29,43,1,0,A,1,0.111,14,0,0,2,0,18,19,50,62,6,10.33,10,15,5,15,4,10,18,81,10.33,4
123,0,29,71,0,R,2,49,U,U,6,0,P,0,,538,229,75,9946,1,26,36,35,1,0,N,3,0.3,6.67,0.4,5,3,2,17,9,23,20,3,6.67,5,10,5,5,6,14,17,24,6.67,2
124,0,137,41,0,S,1,12,U,F,,0,N,0,7,1207,454,78,19318,0,27,11,43,1,0,A,1,0.053,35,0,0,1,0,26,29,67,210,8,26.25,15,35,20,35,5,10,26,120,26.25,4
125,1,89,79,0,T,2,39,H,M,2,1,B,0,6,715,362,85,12806,0,32,41,23,1,1,S,4,0.368,10.29,0.5,10.8,7,5,18,23,58,112,15,7.47,14,17,3,11,6,14,18,88,7.47,9
126,0,137,80,0,S,2,16,U,F,1,1,M,1,8,751,416,98,17812,0,33,23,40,0,0,A,1,0.105,12.5,0.125,15,2,1,16,27,62,64,9,7.11,13,15,2,15,4,14,16,116,7.11,7
127,0,137,50,0,T,1,34,U,U,,1,N,0,9,1097,485,67,21132,0,21,27,21,1,10,A,1,0.15,11.33,0.111,10,3,1,18,30,74,180,20,9,7,12,5,12,5,12,18,119,9,13
128,0,29,31,0,T,1,35,H,F,5,1,B,2,,1274,405,50,22107,0,24,51,12,1,0,A,3,0.222,10,0.5,10,4,4,20,12,31,40,4,10,0,10,10,10,6,13,20,33,10,4
129,0,65,35,0,U,4,10,U,F,,0,N,0,,0,0,0,0,0,0,0,0,1,1,S,3,0.286,11.33,0.364,12,6,4,19,22,57,149,16,9.31,10,15,5,10,6,13,19,64,9.31,9
130,0,29,74,0,U,1,2,H,M,6,1,B,6,,4085,539,87,27667,0,24,62,15,1,1,S,4,0.353,11.83,0.556,11.2,6,5,16,13,31,71,6,11.83,10,15,5,14,6,15,16,33,11.83,5
131,0,29,35,0,T,2,38,H,F,5,1,B,3,,866,352,85,15350,0,52,20,35,0,0,A,1,0.167,20,0.333,20,2,2,21,9,22,40,2,20,0,20,20,20,4,10,21,28,20,2
132,0,29,67,0,R,3,51,U,M,6,0,P,0,,389,181,87,8162,0,28,26,35,0,0,A,1,0.167,15.67,0.125,15,3,1,18,12,27,47,3,15.67,2,17,15,17,5,11,18,32,15.67,1
133,0,41,43,0,T,2,39,H,F,4,1,B,8,,455,191,73,7461,2,13,56,15,1,0,A,3,0.227,5.8,0.455,5.8,5,5,22,17,38,42,8,5.25,7,10,3,4,6,12,22,44,5.25,7
134,0,101,52,0,C,2,26,U,F,,0,N,0,5,1189,188,20,13623,0,25,29,21,0,0,A,2,0.143,14.33,0.1,12,3,1,18,25,61,123,9,13.67,6,16,10,15,6,13,18,91,13.67,5
135,1,113,38,0,R,1,42,U,F,,1,N,0,4,613,129,27,8382,0,23,37,24,1,0,A,1,0.1,25,0,0,2,0,26,28,65,119,8,14.88,20,25,5,25,5,12,26,103,14.88,5
136,0,101,77,0,C,1,24,H,M,5,1,B,2,,698,488,82,21219,0,42,29,48,1,1,S,3,0.222,10,0.125,9,4,1,16,25,61,109,15,7.27,6,11,5,9,6,14,16,93,7.27,5
137,0,41,39,0,R,2,43,U,F,2,1,B,0,,539,239,79,10589,0,28,31,28,0,0,A,1,0.1,21,0,0,2,0,18,14,32,47,3,15.67,17,22,5,22,6,11,18,42,15.67,1
138,0,17,55,0,S,2,20,H,M,4,1,B,4,,815,273,56,10305,3,35,44,34,0,0,F,1,0.143,15,0.333,15,1,1,21,5,13,15,1,15,0,15,15,15,3,8,21,21,15,1
139,0,137,76,0,?,?,,H,M,2,1,B,1,1,1656,264,54,11743,0,0,0,0,0,0,A,2,0.143,28.33,0.1,30,3,1,2,31,69,110,7,15.71,25,30,5,30,6,13,15,112,15.71,3
140,1,101,71,0,U,4,10,H,F,2,1,B,3,0,139,63,14,5159,0,23,48,21,1,1,S,4,0.375,4,0.556,4.2,6,5,21,23,57,53,16,3.31,3,5,2,3,6,12,18,93,3.31,10
141,0,41,,0,S,2,20,H,F,2,0,M,0,,617,284,63,14047,0,33,19,7,0,0,A,1,0.095,21,0.1,21,2,1,19,15,36,57,3,19,6,21,15,21,6,12,19,41,19,2
142,0,137,80,1,S,2,17,H,F,2,0,B,8,3,783,266,55,13241,1,35,30,25,1,1,S,2,0.211,10.75,0.273,11,4,3,21,36,104,384,40,9.6,7.5,12.5,5,11,7,17,21,130,9.6,16
143,1,77,68,0,U,2,6,H,M,7,0,B,0,8,2105,535,89,17785,0,24,22,56,0,0,A,2,0.158,14.67,0,0,3,0,18,18,49,94,9,10.44,11,16,5,16,6,13,18,68,10.44,1
144,0,113,57,0,S,2,18,U,F,5,1,B,2,7,569,277,86,11842,0,34,30,13,0,0,A,1,0.111,20,0.125,15,2,1,18,22,54,90,6,15,20,25,5,25,6,13,18,104,15,3
145,0,137,,0,T,2,38,U,F,,0,N,0,9,753,352,69,18210,0,39,24,32,1,1,S,2,0.125,25,0,0,2,0,19,22,55,192,15,12.8,23,25,2,25,4,8,19,131,12.8,7
146,1,41,75,0,U,1,1,U,M,1,1,B,34,8,1075,368,20,33797,0,12,24,40,0,0,A,1,0.111,16.5,0.222,16.5,2,2,21,15,39,49,4,12.25,15,20,5,20,6,14,21,45,12.25,4
147,0,29,63,0,C,3,32,H,F,4,1,P,0,,386,234,84,9321,0,24,37,38,0,0,A,2,0.143,10,0.286,10,2,2,22,10,23,30,3,10,10,15,5,15,5,11,22,28,10,2
148,0,77,64,0,T,2,40,H,F,1,1,B,3,6,744,414,89,15513,0,45,40,34,1,0,A,2,0.182,12.5,0.091,19,4,1,17,23,59,103,15,6.87,16,19,3,19,6,13,17,68,6.87,5
149,0,137,60,0,R,3,51,U,M,,0,N,0,1,285,221,86,8778,0,29,34,35,0,0,A,2,0.2,12,0.222,13,4,2,23,28,60,91,9,10.11,10,15,5,15,6,13,23,124,10.11,6
150,0,89,48,0,T,2,36,H,M,6,1,B,1,6,589,355,79,13649,1,36,23,28,1,7,A,1,0.19,21.25,0.273,21.67,4,3,20,25,67,217,15,14.47,20,25,5,25,6,15,20,85,14.47,9
151,0,77,53,0,R,2,47,H,F,3,0,P,0,4,402,178,71,9535,0,22,25,43,0,0,A,1,0.05,20,0.111,20,1,1,21,19,51,66,6,11,17,20,3,20,6,13,21,76,11,5
152,0,65,77,0,C,3,30,H,M,5,1,B,7,,359,86,25,4239,0,42,24,40,1,1,S,3,0.176,9.67,0.143,10,3,1,16,17,46,54,7,7.71,5,10,5,5,6,14,15,62,7.71,4
153,0,29,,0,T,1,34,U,U,,0,N,0,,2991,530,65,24660,2,19,44,16,0,0,F,1,0,0,0,0,0,0,,5,13,15,1,15,0,15,15,15,3,8,21,21,15,0
154,0,101,61,0,T,2,36,U,M,5,1,B,5,4,523,218,60,11368,0,24,19,66,0,0,A,1,0.053,23,0,0,1,0,16,25,59,160,8,20,17,27,10,23,5,12,16,101,20,3
155,0,77,67,0,T,2,38,U,M,,0,N,0,6,925,308,32,16941,0,30,41,10,1,1,S,4,0.45,3.67,0.545,3.67,9,6,17,23,55,79,23,3.43,4,6,2,3,6,12,17,75,3.43,13
156,0,29,79,0,R,2,43,U,F,,0,N,0,,390,246,84,11519,0,28,34,34,1,1,S,4,0.267,5,0.375,5,4,3,21,12,27,31,6,5.17,1,6,5,5,6,12,18,33,5.17,3
157,0,101,59,0,S,1,15,H,M,6,1,B,4,7,761,397,42,19808,0,25,27,44,1,0,A,2,0.143,15,0.2,15,3,2,25,23,54,94,9,10.44,10,15,5,15,6,11,25,91,10.44,5
158,0,65,82,0,S,1,12,H,M,4,1,B,4,8,972,432,90,20547,2,35,52,27,1,0,A,4,0.227,10.2,0.273,10,5,3,18,22,53,118,13,9.08,6,11,5,11,6,14,18,61,9.08,8
159,1,77,78,0,R,2,43,H,M,5,0,P,0,3,508,193,79,9443,0,28,36,45,1,1,S,2,0.143,10,0.2,10,3,2,22,21,54,132,14,9.43,7,12,5,10,6,15,18,74,9.43,7
160,0,29,87,0,T,1,34,H,M,6,1,B,2,,897,382,78,29569,0,36,33,44,0,0,N,1,0.1,25,0.25,25,1,1,24,7,17,25,1,25,0,25,25,25,4,9,24,24,25,1
161,0,101,,0,T,2,37,U,F,2,1,M,0,2,1167,219,74,13430,1,34,29,39,1,14,A,1,0.063,100,0.111,100,1,1,19,23,76,520,20,26,97,100,3,100,4,26,19,92,26,8
162,1,89,,0,T,2,40,H,F,5,0,P,0,3,452,193,66,9283,0,29,31,31,1,1,S,4,0.389,5.57,0.5,5.6,7,5,19,23,63,100,20,5,4,6,2,5,6,13,19,87,5,9
163,0,29,41,0,C,1,24,H,M,7,0,P,0,,894,547,90,19016,0,41,45,9,1,0,A,3,0.286,6.75,0.5,6.67,4,3,18,10,26,33,5,6.6,5,10,5,7,6,13,18,31,6.6,3
164,1,77,78,0,C,2,28,U,M,,0,N,0,8,896,392,77,21975,0,48,18,59,0,0,A,1,0.095,27.5,0.1,25,2,1,26,20,51,140,5,28,40,50,10,30,5,10,26,68,28,2
165,1,113,83,0,C,2,28,U,M,1,1,P,0,3,736,235,81,14532,0,43,13,68,1,1,S,3,0.235,14.25,0.333,15,4,3,18,22,52,152,12,12.67,20,25,5,12,4,8,18,110,12.67,8
166,1,137,64,1,S,1,11,U,M,,0,N,0,8,3431,549,54,20683,0,24,51,3,1,1,S,2,0.167,13.67,0.222,15,3,2,17,28,79,169,17,9.94,10,15,5,15,5,19,7,129,9.94,12
167,0,137,68,0,S,3,21,H,F,2,0,P,0,4,434,237,82,11550,0,23,20,18,1,1,S,4,0.476,9.4,0.5,7.4,10,5,17,32,80,294,44,6.68,12,15,3,12,5,12,17,128,6.68,19
168,0,137,59,0,R,2,45,U,F,,0,N,0,2,553,208,81,10754,0,27,26,39,1,0,A,1,0.077,10,0,0,1,0,19,28,64,135,16,8.44,10,13,3,10,5,12,19,120,8.44,8
169,1,41,81,0,S,1,11,H,F,7,1,B,1,,1101,518,78,35560,1,32,13,36,0,0,A,1,0.125,16,0,0,2,0,18,12,26,35,3,11.67,14,17,3,17,5,11,18,41,11.67,1
170,0,77,56,0,T,2,39,U,M,3,0,M,2,5,524,269,74,10238,1,36,44,18,0,0,A,1,0.111,17.5,0.111,15,2,1,26,18,45,64,5,12.8,15,20,5,20,5,10,26,76,12.8,3
171,0,17,33,0,R,1,42,U,M,,1,N,0,,806,378,85,12559,0,21,33,19,0,0,F,1,0.143,15,0.333,15,1,1,21,5,14,15,1,15,0,15,15,15,3,9,21,21,15,1
172,0,89,41,0,T,2,39,H,M,4,0,P,0,2,0,0,0,0,64,22,34,12,0,0,A,2,0.053,15,0.111,15,1,1,21,18,40,76,8,9.5,10,15,5,10,6,12,18,81,9.5,4
173,0,53,33,0,S,1,12,H,F,6,0,B,0,,1181,451,77,17987,2,32,39,27,0,0,A,1,0.1,14.5,0.2,14.5,2,2,16,18,55,63,8,7.88,15,20,5,20,6,23,16,53,7.88,2
174,0,17,27,0,R,2,49,U,M,1,0,P,0,,462,300,78,11191,0,28,32,15,0,0,N,2,0.25,15,0.5,15,2,2,16,8,20,30,2,15,10,20,10,10,6,15,16,21,15,2
175,0,41,65,0,S,2,16,H,M,4,0,B,1,,1113,232,46,8316,0,25,47,41,0,0,A,1,0.095,37.5,0,0,2,0,19,15,34,80,3,26.67,45,50,5,50,6,13,19,42,26.67,0
176,1,113,80,0,S,2,20,H,M,1,1,B,2,8,864,358,69,16065,0,40,37,30,1,0,A,1,0.056,12,0,0,1,0,26,25,64,143,13,11,11,16,5,12,4,9,26,113,11,5
177,0,53,74,1,S,1,14,H,M,5,1,M,1,9,2030,778,99,32784,0,25,0,58,0,0,A,1,0.056,15,0,0,1,0,20,14,59,60,5,12,10,15,5,15,5,15,20,52,12,0
178,0,41,41,0,T,2,40,H,F,5,0,B,0,,661,327,85,14478,0,31,35,25,0,0,A,1,0.105,15,0.125,20,2,1,24,13,32,42,4,10.5,15,20,5,20,6,11,24,41,10.5,2
179,0,17,62,0,U,1,2,U,M,,1,N,0,,2114,526,82,17208,0,30,36,29,0,0,F,1,0.2,18,0.5,18,1,1,16,5,13,18,1,18,0,18,18,18,4,11,16,16,18,1
180,0,77,83,0,C,1,23,H,F,5,1,B,6,9,3597,398,48,56413,0,28,7,64,1,0,A,1,0.1,25,0.1,25,2,1,21,23,61,147,9,16.33,20,25,5,25,6,13,21,76,16.33,5
181,0,53,32,0,U,1,1,U,M,1,1,B,3,,1348,613,83,20525,0,0,0,0,1,0,A,4,0.35,4.57,0.455,4.4,7,5,16,33,79,82,20,4.1,7,9,2,5,11,22,16,57,4.1,9
182,0,137,37,1,?,?,,U,F,1,1,B,6,4,2882,643,74,26120,0,0,0,0,1,13,A,1,0.111,18,0.2,18,2,2,21,34,99,591,50,11.82,19,24,5,19,6,14,21,130,11.82,19
183,0,137,50,0,R,3,53,H,F,4,1,B,0,1,397,203,77,9609,0,36,26,41,1,1,S,2,0.364,7,0.429,7.67,4,3,17,16,36,60,14,4.29,14,15,1,15,4,7,17,126,4.29,9
184,0,29,,0,S,1,14,H,F,5,1,B,1,,1233,658,93,28730,0,30,35,23,0,0,A,2,0.143,16,0.167,12,2,1,18,10,26,42,3,14,10,20,10,20,6,14,18,32,14,1
185,0,137,,0,T,1,35,H,F,5,1,P,0,9,557,318,84,12868,0,32,48,21,1,1,S,4,0.273,17.5,0.364,16,6,4,22,32,87,731,45,16.24,22,25,3,10,5,12,22,128,16.24,17
186,0,29,,0,T,1,34,U,M,,0,N,0,,1866,558,92,20531,0,45,35,47,0,0,N,3,0.231,10.67,0.143,10,3,1,18,11,23,32,3,10.67,2,12,10,12,6,14,18,27,10.67,1
187,0,65,59,0,S,2,16,H,M,7,1,B,1,8,794,466,99,16259,0,35,12,34,0,0,A,1,0.15,31.67,0.091,30,3,1,26,21,48,170,6,28.33,10,35,25,35,5,12,26,56,28.33,3
188,1,65,,0,C,1,24,H,M,5,0,B,2,8,2213,447,67,16702,0,23,39,24,1,4,A,1,0.167,7.33,0.3,7.33,3,3,17,23,58,99,20,4.95,8,10,2,10,5,14,17,63,4.95,10
189,0,89,,0,T,1,35,U,F,,1,N,0,,945,432,93,16481,0,31,20,48,1,1,S,2,0.105,10,0.125,5,2,1,22,21,58,74,12,6.17,10,15,5,5,4,11,22,87,6.17,7
190,1,41,,0,T,1,35,U,F,,1,N,0,,1989,771,98,27373,0,30,33,11,1,0,E,1,0.125,25,0.25,25,1,1,19,8,15,55,3,18.33,20,25,5,25,2,4,19,43,18.33,2
191,1,137,73,0,R,3,51,H,M,2,0,P,0,2,376,178,64,8246,0,32,35,41,1,1,S,3,0.133,10,0.143,10,2,1,20,26,68,160,17,9.41,5,10,5,10,4,8,18,130,9.41,8
192,0,137,40,0,T,2,40,H,M,4,1,B,14,4,783,319,67,12689,0,30,16,20,1,1,S,4,0.318,6.29,0.455,7,7,5,19,34,79,171,33,5.18,14,15,1,5,6,13,18,126,5.18,17
193,0,41,55,0,C,1,24,H,M,5,0,P,0,8,3656,411,70,25802,1,35,22,48,0,0,A,1,0.056,100,0.111,100,1,1,21,14,79,200,2,100,0,100,100,100,5,30,21,45,100,2
194,1,137,54,0,S,2,16,H,M,5,0,P,0,3,649,255,65,11141,9,42,18,32,1,4,A,1,0.19,11.75,0.2,10.5,4,2,18,33,84,223.03,28,7.97,12.97,13,0.03,13,5,12,18,128,7.97,15
195,0,29,41,0,R,2,46,H,F,3,1,B,9,,713,176,65,11467,0,46,30,25,0,0,N,1,0.1,20,0.25,20,1,1,23,6,16,20,1,20,0,20,20,20,3,8,23,23,20,1
196,1,89,61,0,C,3,30,H,F,5,1,B,10,2,487,217,63,10468,0,27,9,56,1,1,S,2,0.167,15.33,0.25,15,3,2,18,21,56,89,9,9.89,13,16,3,16,6,13,18,88,9.89,6
197,0,53,45,0,C,1,24,H,M,7,1,B,2,,658,519,83,17515,0,33,65,8,1,0,A,4,0.188,5.67,0.429,5.67,3,3,16,14,37,36,7,5.14,4,7,3,7,6,13,16,52,5.14,4
198,1,125,,1,T,2,38,U,F,,1,N,0,6,582,254,54,12981,0,23,54,10,1,12,A,1,0.105,7.5,0.25,7.5,2,2,16,31,91,178,28,6.36,8,11,3,10,5,27,10,120,6.36,19
199,1,137,45,0,T,2,40,H,F,5,1,B,1,,1056,405,77,15432,0,12,0,56,1,1,S,2,0.143,13,0.167,16,2,1,21,23,59,50.25,14,3.59,14.75,16,1.25,16,5,12,21,123,3.59,10
200,0,41,55,0,S,1,11,H,M,7,1,M,9,,3370,763,84,32072,0,17,41,27,0,0,A,1,0.091,25,0.167,25,1,1,19,12,26,37,3,12.33,20,25,5,25,6,13,19,45,12.33,2
201,0,77,73,0,U,4,10,H,M,4,0,B,8,0,654,209,34,8783,8,33,39,23,1,0,A,2,0.118,22.5,0,0,2,0,15,18,47,77,6,12.83,20,25,5,25,6,13,15,67,12.83,3
202,0,101,86,0,C,2,28,U,F,,1,N,0,5,1111,320,80,16128,0,41,21,66,1,1,S,4,0.6,7.25,0.636,7.14,12,7,17,29,79,231,40,5.78,8,10,2,9,6,14,17,105,5.78,21
203,0,17,41,0,T,1,35,H,F,6,1,B,4,,2292,713,94,42494,0,46,12,59,0,0,F,1,0.2,15,0.5,15,1,1,17,5,13,15,1,15,0,15,15,15,4,10,17,17,15,1
204,0,53,48,0,T,3,41,H,U,5,1,P,0,,338,203,81,8933,0,46,32,32,0,0,A,4,0.357,9,0.333,10,5,2,18,13,33,50,6,8.33,8,13,5,11,6,12,18,52,8.33,3
205,0,125,61,0,R,2,49,U,M,,0,N,0,,701,244,49,11632,0,24,20,42,1,4,A,1,0.1,13,0,0,2,0,26,29,69,125,15,8.33,11,14,3,14,4,9,26,124,8.33,8
206,0,41,43,0,R,2,44,H,M,5,0,P,0,,686,344,83,13876,1,36,42,23,0,0,A,2,0.15,21.67,0,0,3,0,15,14,33,70,4,17.5,20,25,5,25,6,13,15,42,17.5,1
207,1,65,,0,R,1,42,U,F,4,0,M,0,,751,405,67,14202,0,31,33,23,0,0,A,2,0.263,6.4,0.3,7.33,5,3,22,20,45,60,12,5,9,10,1,10,6,12,22,63,5,5
208,0,29,45,0,R,2,45,U,F,5,0,P,0,,407,176,73,9987,0,29,31,42,0,0,A,1,0.133,15,0.25,15,2,2,21,11,24,40,3,13.33,5,15,10,15,5,11,21,29,13.33,2
209,0,113,47,0,R,3,53,H,F,4,0,P,0,0,341,167,79,8135,0,31,27,40,1,15,A,1,0.053,10,0.125,10,1,1,24,29,69,156,13,12,16,21,5,10,5,10,24,111,12,11
210,1,125,,0,S,3,21,H,M,3,0,M,0,,423,294,74,10114,0,34,44,22,1,1,S,3,0.158,10.67,0.333,10.67,3,3,17,30,78,223,23,9.7,12,15,3,12,6,13,15,124,9.7,16
211,0,41,71,0,T,1,35,H,M,5,1,B,1,,997,512,93,19857,21,33,52,13,1,0,A,3,0.368,15,0.455,15.4,7,5,24,16,33,140,10,14,9,18,9,18,6,11,24,39,14,6
212,0,137,77,0,R,2,43,H,F,1,1,B,0,4,676,408,91,14321,1,34,32,28,1,1,S,3,0.176,10,0.286,10,3,2,15,28,69,130,15,8.67,7,12,5,10,5,12,15,123,8.67,10
213,1,137,57,0,T,2,36,U,M,,0,N,0,0,391,173,69,9455,0,35,30,36,1,1,S,3,0.263,6.2,0.2,7.5,5,2,18,32,79,116.5,29,4.02,8.5,10,1.5,5,5,12,18,130,4.02,13
214,0,65,,0,C,3,30,U,F,,0,N,0,2,458,166,60,7617,0,32,25,39,1,0,A,4,0.35,10.57,0.5,10,7,5,16,19,46,118,14,8.43,8,13,5,13,6,14,16,56,8.43,6
215,0,113,77,0,U,1,1,U,F,2,0,B,0,5,4504,887,84,51832,3,21,44,14,1,0,A,2,0.167,10.67,0.375,10.67,3,3,21,25,64,105,10,10.5,15,20,5,12,6,13,21,104,10.5,7
216,0,17,,0,T,2,40,U,F,,0,N,0,,675,358,91,15780,0,49,16,59,0,0,F,1,0.2,20,0.5,20,1,1,16,6,15,20,1,20,0,20,20,20,5,13,16,16,20,1
217,0,53,46,0,T,2,37,H,F,5,1,B,20,,713,206,65,12764,2,28,22,22,1,0,A,4,0.3,7,0.3,6.33,6,3,15,18,40,53,9,5.89,9,11,2,6,6,12,15,52,5.89,6
218,1,77,53,0,C,2,27,H,F,3,0,P,0,8,529,317,73,12494,0,44,24,44,1,0,A,1,0.071,15,0,0,1,0,19,18,45,63,6,10.5,10,15,5,15,5,11,19,77,10.5,2
219,0,77,58,0,C,3,30,H,M,2,1,B,6,4,352,179,72,9536,0,39,23,65,0,0,A,4,0.333,35.8,0.429,38,5,3,18,15,43,244,8,30.5,37,42,5,40,6,13,18,69,30.5,4
220,0,65,43,0,S,1,14,H,F,7,0,P,0,,1532,643,94,26109,0,29,53,9,0,0,A,1,0.077,15,0.2,15,1,1,18,12,34,27,3,9,10,15,5,15,4,10,18,56,9,1
221,0,29,37,0,T,1,35,H,F,5,1,B,1,,971,557,96,21572,0,29,52,22,0,0,A,1,0.2,12.33,0.375,12.33,3,3,23,10,21,37,3,12.33,5,15,10,15,3,5,23,33,12.33,3
222,0,29,43,0,S,1,12,H,M,6,1,B,15,,1407,578,82,21162,0,29,36,25,0,0,A,4,0.333,8.8,0.5,8.5,5,4,17,12,29,54,6,9,6,11,5,11,6,13,17,33,9,4
223,1,113,44,0,C,1,24,U,F,,0,N,0,8,1010,407,87,23774,0,40,25,31,1,1,S,2,0.211,10.75,0.222,11,4,2,21,27,71,179,25,7.16,10,12,2,12,6,14,21,102,7.16,13
224,0,17,,0,C,3,30,U,F,,0,N,0,,347,236,59,10196,0,32,31,20,0,0,N,2,0.286,13,0.5,13,2,2,17,8,17,26,2,13,16,16,0,0,6,12,7,20,13,2
225,0,77,81,0,S,3,21,U,F,4,0,M,0,,585,370,75,13765,0,0,0,0,1,1,S,4,0.5,2.29,0.714,2.4,7,5,19,17,43,29,14,2.07,4,5,1,1,5,13,19,77,2.07,8
226,0,29,39,0,T,2,38,U,F,6,0,P,0,,548,380,53,14183,0,29,55,19,0,0,A,2,0.231,10.67,0.167,5,3,1,18,10,24,32,3,10.67,11,16,5,16,6,13,18,28,10.67,1
227,0,65,55,0,C,2,29,U,U,,1,N,0,8,660,249,92,18144,0,43,2,94,0,0,A,2,0.167,14.33,0.222,14,3,2,18,18,50,81,7,11.57,10,15,5,15,6,13,18,65,11.57,3
228,0,101,,0,S,2,16,U,F,,0,N,0,2,1065,300,39,11108,0,18,27,32,1,1,S,2,0.167,10.67,0.111,10,3,1,18,24,62,115,12,9.58,8,13,5,10,6,13,18,92,9.58,6
229,0,137,35,0,S,1,14,H,M,5,1,P,0,9,1542,616,97,18168,0,27,77,4,1,0,A,1,0.105,10,0,0,2,0,16,28,71,130,15,8.67,9,12,3,10,4,11,16,129,8.67,9
230,0,101,78,0,R,2,45,U,M,,0,N,0,4,207,194,77,9097,0,33,28,47,0,0,A,2,0.158,14,0.125,20,3,1,15,23,61,102,9,11.33,10,20,10,10,6,13,15,97,11.33,2
231,0,41,,0,R,2,45,U,F,,1,N,0,,504,268,56,11511,3,25,25,43,0,0,A,2,0.118,16,0,0,2,0,18,12,26,42,3,14,7,17,10,17,6,12,18,34,14,0
232,0,77,,0,U,2,7,U,M,,0,N,0,4,2060,449,85,16367,0,17,0,23,0,0,A,2,0.15,18.33,0.111,22,3,1,18,18,47,77,6,12.83,18,23,5,22,6,13,18,66,12.83,4
233,1,137,70,0,R,3,53,H,U,3,1,B,0,2,619,192,89,11141,0,37,24,50,1,0,A,2,0.15,10,0.333,10,3,3,19,30,65,82,12,6.83,8,11,3,10,6,13,19,102,6.83,8
234,0,53,70,0,R,2,48,U,M,,0,N,0,1,552,228,92,11234,0,42,16,48,1,0,A,3,0.2,13.25,0.3,12.67,4,3,23,18,45,91,8,11.38,10,15,5,15,6,11,23,53,11.38,5
235,0,53,,0,S,2,17,U,M,,0,N,0,,2563,364,24,15272,0,24,39,17,0,0,A,1,0.143,20,0,0,2,0,18,11,29,45,3,15,20,25,5,25,4,8,18,53,15,1
236,0,137,,0,R,2,49,U,M,,0,N,0,6,506,312,90,11544,2,40,38,25,1,1,S,4,0.65,4.23,0.636,4.43,13,7,15,32,79,256,55,4.65,10,12,2,4,5,11,15,129,4.65,24
237,0,137,56,1,R,2,48,H,M,2,0,P,0,2,789,200,81,9717,0,47,19,55,1,7,A,1,0.048,20,0,0,1,0,24,35,78,191,16,11.94,15,20,5,20,8,20,10,126,11.94,7
238,0,53,,0,T,2,40,U,U,,0,N,0,6,755,323,77,12977,0,27,29,17,0,0,A,1,0.105,22.5,0.2,22.5,2,2,24,17,42,90,6,15,20,25,5,25,6,14,24,53,15,3
239,0,65,37,0,T,2,38,H,F,2,0,P,0,,675,256,43,13557,0,27,37,33,0,0,A,2,0.095,22,0,0,2,0,15,19,47,116,6,19.33,7,22,15,22,6,13,15,55,19.33,1
240,0,29,39,0,T,2,39,U,F,3,0,P,0,,504,261,64,8988,0,32,26,34,0,0,A,2,0.231,15.67,0.333,16,3,2,20,10,25,47,3,15.67,2,17,15,17,6,12,20,32,15.67,2
241,0,29,33,0,T,1,35,U,M,6,0,M,0,,1215,593,88,20635,6,32,57,24,0,0,A,2,0.167,20,0.375,20,3,3,16,12,28,60,3,20,0,20,20,20,6,13,16,33,20,3
242,0,77,53,1,?,?,,H,M,6,0,P,0,4,923,273,50,12180,0,0,0,0,1,11,A,1,0,0,0,0,0,0,,22,95,1505,24,62.71,75,100,25,50,6,19,16,66,62.71,9
